Week,debt
2007-05-27 - 2007-06-02,52
2007-06-03 - 2007-06-09,55
2007-06-10 - 2007-06-16,50
2007-06-17 - 2007-06-23,52
2007-06-24 - 2007-06-30,53
2007-07-01 - 2007-07-07,47
2007-07-08 - 2007-07-14,53
2007-07-15 - 2007-07-21,55
2007-07-22 - 2007-07-28,56
2007-07-29 - 2007-08-04,54
2007-08-05 - 2007-08-11,54
2007-08-12 - 2007-08-18,51
2007-08-19 - 2007-08-25,52
2007-08-26 - 2007-09-01,51
2007-09-02 - 2007-09-08,52
2007-09-09 - 2007-09-15,55
2007-09-16 - 2007-09-22,59
2007-09-23 - 2007-09-29,60
2007-09-30 - 2007-10-06,60
2007-10-07 - 2007-10-13,60
2007-10-14 - 2007-10-20,60
2007-10-21 - 2007-10-27,58
2007-10-28 - 2007-11-03,62
2007-11-04 - 2007-11-10,61
2007-11-11 - 2007-11-17,63
2007-11-18 - 2007-11-24,52
2007-11-25 - 2007-12-01,59
2007-12-02 - 2007-12-08,61
2007-12-09 - 2007-12-15,55
2007-12-16 - 2007-12-22,53
2007-12-23 - 2007-12-29,52
2007-12-30 - 2008-01-05,57
2008-01-06 - 2008-01-12,68
2008-01-13 - 2008-01-19,68
2008-01-20 - 2008-01-26,69
2008-01-27 - 2008-02-02,65
2008-02-03 - 2008-02-09,63
2008-02-10 - 2008-02-16,62
2008-02-17 - 2008-02-23,63
2008-02-24 - 2008-03-01,66
2008-03-02 - 2008-03-08,63
2008-03-09 - 2008-03-15,60
2008-03-16 - 2008-03-22,62
2008-03-23 - 2008-03-29,64
2008-03-30 - 2008-04-05,62
2008-04-06 - 2008-04-12,63
2008-04-13 - 2008-04-19,65
2008-04-20 - 2008-04-26,63
2008-04-27 - 2008-05-03,57
2008-05-04 - 2008-05-10,58
2008-05-11 - 2008-05-17,56
2008-05-18 - 2008-05-24,54
2008-05-25 - 2008-05-31,52
2008-06-01 - 2008-06-07,54
2008-06-08 - 2008-06-14,58
2008-06-15 - 2008-06-21,54
2008-06-22 - 2008-06-28,56
2008-06-29 - 2008-07-05,53
2008-07-06 - 2008-07-12,62
2008-07-13 - 2008-07-19,61
2008-07-20 - 2008-07-26,60
2008-07-27 - 2008-08-02,62
2008-08-03 - 2008-08-09,58
2008-08-10 - 2008-08-16,54
2008-08-17 - 2008-08-23,57
2008-08-24 - 2008-08-30,62
2008-08-31 - 2008-09-06,63
2008-09-07 - 2008-09-13,64
2008-09-14 - 2008-09-20,80
2008-09-21 - 2008-09-27,88
2008-09-28 - 2008-10-04,85
2008-10-05 - 2008-10-11,100
2008-10-12 - 2008-10-18,82
2008-10-19 - 2008-10-25,74
2008-10-26 - 2008-11-01,72
2008-11-02 - 2008-11-08,70
2008-11-09 - 2008-11-15,77
2008-11-16 - 2008-11-22,75
2008-11-23 - 2008-11-29,65
2008-11-30 - 2008-12-06,77
2008-12-07 - 2008-12-13,73
2008-12-14 - 2008-12-20,65
2008-12-21 - 2008-12-27,48
2008-12-28 - 2009-01-03,64
2009-01-04 - 2009-01-10,71
2009-01-11 - 2009-01-17,70
2009-01-18 - 2009-01-24,68
2009-01-25 - 2009-01-31,71
2009-02-01 - 2009-02-07,74
2009-02-08 - 2009-02-14,75
2009-02-15 - 2009-02-21,76
2009-02-22 - 2009-02-28,82
2009-03-01 - 2009-03-07,75
2009-03-08 - 2009-03-14,69
2009-03-15 - 2009-03-21,71
2009-03-22 - 2009-03-28,74
2009-03-29 - 2009-04-04,69
2009-04-05 - 2009-04-11,66
2009-04-12 - 2009-04-18,68
2009-04-19 - 2009-04-25,70
2009-04-26 - 2009-05-02,67
2009-05-03 - 2009-05-09,64
2009-05-10 - 2009-05-16,62
2009-05-17 - 2009-05-23,61
2009-05-24 - 2009-05-30,58
2009-05-31 - 2009-06-06,62
2009-06-07 - 2009-06-13,63
2009-06-14 - 2009-06-20,62
2009-06-21 - 2009-06-27,65
2009-06-28 - 2009-07-04,68
2009-07-05 - 2009-07-11,67
2009-07-12 - 2009-07-18,69
2009-07-19 - 2009-07-25,65
2009-07-26 - 2009-08-01,62
2009-08-02 - 2009-08-08,63
2009-08-09 - 2009-08-15,68
2009-08-16 - 2009-08-22,61
2009-08-23 - 2009-08-29,75
2009-08-30 - 2009-09-05,61
2009-09-06 - 2009-09-12,62
2009-09-13 - 2009-09-19,63
2009-09-20 - 2009-09-26,64
2009-09-27 - 2009-10-03,62
2009-10-04 - 2009-10-10,63
2009-10-11 - 2009-10-17,69
2009-10-18 - 2009-10-24,67
2009-10-25 - 2009-10-31,64
2009-11-01 - 2009-11-07,63
2009-11-08 - 2009-11-14,65
2009-11-15 - 2009-11-21,65
2009-11-22 - 2009-11-28,62
2009-11-29 - 2009-12-05,69
2009-12-06 - 2009-12-12,65
2009-12-13 - 2009-12-19,61
2009-12-20 - 2009-12-26,42
2009-12-27 - 2010-01-02,53
2010-01-03 - 2010-01-09,63
2010-01-10 - 2010-01-16,62
2010-01-17 - 2010-01-23,65
2010-01-24 - 2010-01-30,75
2010-01-31 - 2010-02-06,81
2010-02-07 - 2010-02-13,71
2010-02-14 - 2010-02-20,72
2010-02-21 - 2010-02-27,68
2010-02-28 - 2010-03-06,67
2010-03-07 - 2010-03-13,65
2010-03-14 - 2010-03-20,65
2010-03-21 - 2010-03-27,72
2010-03-28 - 2010-04-03,61
2010-04-04 - 2010-04-10,66
2010-04-11 - 2010-04-17,67
2010-04-18 - 2010-04-24,65
2010-04-25 - 2010-05-01,73
2010-05-02 - 2010-05-08,69
2010-05-09 - 2010-05-15,64
2010-05-16 - 2010-05-22,61
2010-05-23 - 2010-05-29,57
2010-05-30 - 2010-06-05,56
2010-06-06 - 2010-06-12,61
2010-06-13 - 2010-06-19,57
2010-06-20 - 2010-06-26,58
2010-06-27 - 2010-07-03,57
2010-07-04 - 2010-07-10,52
2010-07-11 - 2010-07-17,54
2010-07-18 - 2010-07-24,54
2010-07-25 - 2010-07-31,54
2010-08-01 - 2010-08-07,52
2010-08-08 - 2010-08-14,51
2010-08-15 - 2010-08-21,52
2010-08-22 - 2010-08-28,49
2010-08-29 - 2010-09-04,48
2010-09-05 - 2010-09-11,50
2010-09-12 - 2010-09-18,51
2010-09-19 - 2010-09-25,53
2010-09-26 - 2010-10-02,53
2010-10-03 - 2010-10-09,56
2010-10-10 - 2010-10-16,54
2010-10-17 - 2010-10-23,57
2010-10-24 - 2010-10-30,57
2010-10-31 - 2010-11-06,60
2010-11-07 - 2010-11-13,57
2010-11-14 - 2010-11-20,57
2010-11-21 - 2010-11-27,42
2010-11-28 - 2010-12-04,58
2010-12-05 - 2010-12-11,53
2010-12-12 - 2010-12-18,46
2010-12-19 - 2010-12-25,36
2010-12-26 - 2011-01-01,38
2011-01-02 - 2011-01-08,62
2011-01-09 - 2011-01-15,53
2011-01-16 - 2011-01-22,60
2011-01-23 - 2011-01-29,65
2011-01-30 - 2011-02-05,57
2011-02-06 - 2011-02-12,58
2011-02-13 - 2011-02-19,64
2011-02-20 - 2011-02-26,58
2011-02-27 - 2011-03-05,57
